Card,Average
Emblem of Shavka,2.8
"Akko, Inspired Artist",1.2
Edict of Shavka,2.8
Breath of Voprex,0.2
Desperate Gambit,1.2
Shavka Evangel,3.0
Sol's Fury,2.2
Teething Whelp,3.5
Warbrush Oni,3.0
Cozin Darkheart,4.0
Draconic Ire,0.2
Dragon Forge,2.2
Funeral Pyre,1.8
Gaudy Showman,2.2
Magebreaker,2.8
Razorwire Totemite,1.2
Cindermaw Tota,2.2
"Galai, Shavka's Listener",3.5
Harmony of Flame,0.2
Relentless Combatant,1.8
Tota Colony,3.5
Warhorn,2.8
Burning Claw,3.2
Dramatic Exit,1.2
Flamekeeper,3.5
Living Mountain,2.2
Slayer's Edge,2.2
Skyfire Hellkite,2.8
Stonesmelt Dragon,3.2
Spear of the Dying Sun,0.2
Emblem of Grodov,3.5
Reap,0.2
Ardent Convert,2.8
Ark of Sol,0.2
Aspirant's Robes,1.8
Borderlands Lookout,3.0
Mettle,2.8
Xultan Brushfang,2.8
Chant to Grodov,1.2
Grodov Evangel,3.0
High Prophet of Sol,3.2
Snapping Hydrangea,0.2
Spiketail Qirin,3.5
Unmake,0.2
Eager Offering,3.0
Edict of Grodov,3.0
"Gnash, Unrelenting",4.0
Proselytize,2.2
Swaying Sea Qirin,2.2
Wilderness Refuge,1.2
Cult Recruiter,2.2
Waystone Fragment,5.0
"Woda, Grodov's Listener",3.5
Anthem of Grodov,3.0
Vinepetal Creeper,1.8
Grodov's Favored,3.5
Majestic Mandrake,3.2
"Merizo, Gladiator Hero",4.0
Mountain Goliath,1.2
Sol's Rest,0.2
Emblem of Kodosh,3.2
Draw Strength,3.5
Ghostblade Outcast,3.2
Inflict Conscience,2.8
Prancing Gryffyn,1.2
Press the Advantage,0.2
"Shen-Ra, Unbreakable",4.0
Edict of Kodosh,2.8
"Hanaka, Loremaster",2.8
Kodosh Evangel,3.5
Lay Siege,3.2
Stand Strong,1.2
Xultan Paladin,2.2
Crowd Queller,1.2
Forgemark Scrivener,2.2
Hexcaster,1.2
Nivia's Inquisitor,2.2
Oni Stalwart,3.0
Seasoned Drillmaster,3.5
Soothing Shortbeak,3.8
Storm of Feathers,1.2
Cleansing Rain,0.2
"Ezuzi, Kodosh's Listener",3.0
Mercy of Kodosh,0.2
Mistrust,1.2
Rent Seeker,1.2
Longtail Cavalry,3.5
Ageworn Vestige,3.0
Kodosh Sees All,3.0
Soulflame Rider,3.0
Emblem of Linrei,2.2
Icy Gaze,1.2
Snowstorm Druid,1.2
"Socrato, Furyheart",0.2
Edict of Linrei,2.2
Linrei Evangel,3.0
Numbing Cold,0.2
Pokpok's Slingshot,3.5
Skywatch Zealot,2.2
Yeti Gryffyn Rider,1.2
Brutish Interloper,1.2
Cruelty,1.2
Greed's Reward,0.8
Rainfall Accord,1.2
Thunderclaw Raven,2.2
Tidecaller,2.2
"Blitrok, Linrei's Listener",4.0
Daring Gryffyn,4.2
Fearstoker Raven,3.0
Inspired Prank,0.2
Reverberating Strike,0.8
Tidal Forces,0.2
Yeti Traditionalist,2.2
Greenstretch Empath,3.0
Prodigious Sorcery,0.2
Burr-Spore Fern,3.2
Flight of Makkar,0.8
Skyhorror Draconus,3.0
Realitybreaker,3.0
Rosebloom Mandrake,1.2
Emblem of Makkar,3.0
Bloodseeker,1.2
Edict of Makkar,2.2
Faceless One,0.2
Fervent Siphoner,2.2
Immortalize,3.0
