Raging Firemaw,5
Eclipse Dragon,4
Heretic's Cannon,4
Waystone Elemental,3
Kaleb's Persuader,3
Coverfire Marksman,3
Nimble Conscript,3
"Clodagh, Loyal Advisor",3
Censari Dervish,3
Combustion Brawler,3
Quake Titan,3
Outlaw Ringleader,3
Blurreechaser,3
Impatient Pyromage,3
Char,3
Tantrum,3
Streets Aflame,3
Mining Team,2
Stronghold Vandal,2
Clan Barracks,2
Ruins Guide,2
Oni Patrol,2
Furious Compulsion,2
Horde Duelist,2
Granite Coin,2
Daring Maneuver,2
"Ghodan, Undefeated",2
Stonehewer,2
Needlespitter,2
Zuberi's Longbow,2
Aspect of Destruction,2
Call to Arms,1
Sizzleback Salamander,1
Incendiary Slagmite,1
Rallying Sergeant,1
Blademaster Daimyo,1
Twinflame,1
Outdraw,1
"Brenn, Arch-Magister",1
Brenn's Scrying,1
Guns Blazing,1
Gold Mine,1
Cinder Sprite,0
Slag,0
Kaleb's Sanctum,0
"Tocas, Waystone Harvester",5
Blurred Stygimoloch,4
"Kimi, Expedition Guide",3
Ancient Clocktower,3
Bulbous Humbug,3
Corrupted Behemoth,3
Glimpse the Possibilities,3
"Ghar, Master Sandmage",3
Cryptic Master,3
Venomous Mount,3
Auralian Infestation,3
Devotee of the Sands,3
Tremorshocker,3
Novice Entomancer,3
Lumen Colossus,3
Quicksilver Ooze,3
Blink,2
Mute,2
"Xumucan, the Surveyor",2
Adolescent Deathjaw,2
Arcanum Elite,2
Displaced Oryctodon,2
Horn of Plenty,2
Phase Out,2
Swirl the Sands,2
Amber Coin,2
Temporal Adept,2
Trickster Mage,2
Burdenbearer Wisp,2
Sauropod Crasher,2
Omnivorous Vorlunk,2
Enhanced Excavator,2
Wurm Bait,2
Stillweave Shroud,1
Submerged Titan,1
Expedition Leader,1
Locust Hatcher,1
Search Party,1
Potion of Alacrity,1
Patience,1
Sudden Stampede,1
Refreshing Waters,0
Talir's Sanctum,0
Death Pit,0
Perilous Research,0
Xulta Loyalist,5
"Siraf, Grand Strategist",5
Steel Legion,4
Withstand,4
Minotaur Platemaker,4
"Kira, the Prodigy",3
Relentless Deadshot,3
Retribution,3
Righteous Intent,3
"Sediti, the Killing Steel",3
"Nikos, the Unifier",3
Tauride Test Pilot,3
Pioneering Aviator,3
Valkyrie Accuser,3
Kosul Bladebarrier,3
Kosul Curator,3
Svetya's Sanctum,3
Steadfast Paladin,3
Svetya's Faithful,3
Shieldcrafter,3
Flash Grenade,3
Emerald Coin,3
Roosting Warhawk,3
Unseen Ghostblade,3
War Wagon,2
Tinker Ennervator,2
Auric Lookout,2
High Alert,2
Touch of Grace,2
Twin Sai,2
Reinforcements,2
Kemmo's Blueprints,2
Pristine Light,2
Spellstrike Sorceress,2
Copperhall Chancellor,2
Headhunter,2
Embargo Officer,2
Isolate,1
Secret Weapon,1
Warfront Missionary,1
Reweave,1
Reclaim,1
Heist,1
Inner Might,1
Silver Shortsword,1
Lethrai Soothsayer,5
Innate Conviction,4
Lightning Sprite,4
Peaktop Trekker,4
"Tamarys, Earthshaker",3
Cloudsnake Matriarch,3
Keen Saddleback,3
Frost Elemental,3
Ice Bolt,3
"Bam, Sneakeepeekee",3
Avalanche Yeti,3
Aggressive Ursine,3
Cobalt Coin,3
Eilyn's Sanctum,3
Yeti Instigator,2
"Rost, the Walking Glacier",2
Belligerent Yeti,2
Hold Under,2
Crashing Avalanche,2
Camp Surveyor,2
Thudrock's Masterwork,2
Fend Off,2
Mass Polymorph,2
Gustrider,2
Ferocity of Bear,2
Dinomancy Enthusiast,1
Murderous Flock,1
Elder Meditant,1
Death from Above,1
"Larai, the Appraiser",1
Royal Decree,1
Furnish,1
Terror on the Mountain,1
Snowmass Jotun,1
Diving Pteriax,1
Fragility,1
Good Idea at the Time,1
Fledgling Owlet,1
Spy Glass,1
Warning Jolt,1
Re-read,1
Yeti Bully,1
Swift Refusal,1
Read the Runes,0
Vargo's Pelt,0
"Vishni, Lethrai Highblood",4
Hostile Takeover,4
Malediction,3
Heartstopper,3
Death Ripple,3
Inevitable Horror,3
Street Urchin,3
"Olly, Maniacal Graverobber",3
Umbren Voidbringer,3
Lethrai Direbeast,3
Scarecrow,3
Stained Honor,3
Spiteful Strike,3
Hunting Anoura,3
Vara's Sanctum,3
Nullblade,3
Eviscerate,3
Wretched Talon,3
"Livia, Hexweaver",3
Razorquill,2
Cabal Repeater,2
Withering Touch,2
Crooked Alleyguide,2
Stonescar Outfitter,2
Fallen Militiaman,2
Bandit's Flail,2
Auric Reclaimer,2
Bloodnurse,2
Angry Prophet,2
"Tasbu, the Forbidden",1
Direwood Lurker,1
Darkweave Enchantress,1
Winnow,1
Unchecked Aggression,1
Boot Knife,1
Muck Crawler,1
Gorgon Cutthroat,1
Illicit Armament,1
Amethyst Coin,1
Dizo's Racket,0
Sinister Design,0
Remembrance,0
Vicious Rumors,0
Vizier's Tablet,0
Unspeakable Torment,0
Pearl Abbey Smuggler,2
Rime Conclave Smuggler,2
East Annex Smuggler,1
Cen Wastes Smuggler,1
Blight Pass Smuggler,1
Seek Answers,2
Evenhanded Golem,2
Seal of Devotion,1
