Card,Average
Blazing Salvo,3.5
Furyblade,1.0
"Kazuo, Melee Virtuoso",3.5
Kindling Carver,3.5
Ruinous Burst,0.0
Covetous Stranger,2.0
"Kato, Arena Herald",3.5
Sear,3.5
Soldrain Smithing,0.5
Tota Pioneer,3.5
Volatility,0.5
Yeti Cookmaster,0.0
Assault Shield,1.0
Burningcore Drake,2.0
Markmaker,3.5
Fire Conjuring,2.5
Shavka's Stranger,2.5
Shavka's Lute,3.5
Touch of Force,1.0
Bladecrafter,2.5
Tattoo Dragon,4.5
Dancing Flame,3.5
Inferno Zealot,2.5
Thunder of Wings,3.5
"Midias, Leyline Dragon",5.0
Stonepowder Bomber,1.0
Shugo's Hooked Sword,3.0
Hammerhand,1.0
Shavka's Embrace,0.0
Alluring Qirin,1.0
Calibrate,2.0
Crack the Earth,2.5
Pause for Reflection,0.0
Precision Plunge,2.0
Shield of the Line,0.5
Sky Worshipper,3.0
Inner-Peace Ascendant,2.0
Lurking Raptors,0.0
Magnificent Stranger,2.0
Platinum Qirin,1.5
Shardbinder,2.0
Touch of Battle,3.2
Gravewatch Ancestor,3.0
Earth Conjuring,2.5
Humbug Nest,2.0
Rectifier,3.7
Tota Circle,1.0
Turn Back Time,1.0
Waystone Gate,3.2
Ancestral Oasis,3.0
Arcane Restraint,0.0
Gentle Grazer,2.5
Grodov's Burden,5.0
Grodov's Stranger,5.0
Nahid's Distillation,4.0
Sunset Enforcer,1.5
Bhodi & Rox,3.0
Corpsebloom,2.0
Deafening Word,0.0
Ensnare,2.0
Fearless Crescendo,3.2
"Eloz, Nightmare General",0.0
Monument Curator,1.0
Outcast Elite,3.0
Siege Provisions,1.0
Steely Stranger,1.0
Timidity,2.0
Touch of Purity,0.0
Willbreaker,3.0
Jadehorn,3.5
Kodosh's Stranger,4.0
Kodosh's Armor,3.7
Wind Conjuring,4.0
Master's Blade,4.5
Resounding Shockwave,0.0
Sky King Storyteller,1.0
Xulta Exile,0.0
Divebomb,2.0
Promising Pupil,1.5
Purgedriver,2.0
Xultan Arbalest,3.0
Emerald Maw,2.0
Enchanted Platemail,2.0
Rageheart Paladin,2.0
"Camoni, Dusk Rider",3.0
Mithril Paladin,1.5
Restrained Action,3.7
Nesting Raven,2.0
Transpose,1.0
Bookclub Yeti,1.5
Formbend,0.0
Provoke the Dragons,1.5
Spellstorm Stranger,1.0
Biting Winds,3.2
Bottled Storm,2.0
Forlorn Gryffyn,0.0
Highsky Lookout,4.0
Water Conjuring,3.2
Overlook Spotter,1.0
Static Discharge,0.0
Touch of Wild,0.0
Brood of Eremot,3.0
Brutal Frostlord,4.0
Linrei's Codex,4.0
Plagued Gryffyn,3.5
Runemarker,1.0
"Uelo, Sky Tactician",4.0
Double Helix Drake,1.0
Linrei's Stranger,5.0
Savage Incursion,1.0
Tainted Mark,1.0
Abyssal Scrying,0.0
Frostbite Chrysalis,1.0
Linrei's Kiss,0.5
Solar Blast,3.0
Vernal Mandrake,3.0
Condemn,1.5
Contaminating Ritual,0.0
Entranced Cultist,3.0
Urgent Missive,0.0
"Damara, Deft Saboteur",2.0
Defile,3.5
Makkar's Quiver,3.5
Switchblade Deadeye,3.0
Touch of Resilience,1.0
Two-Face,3.0
Fanatical Stranger,1.5
Felrauk's Infiltrator,1.0
Flamebathe Reformation,0.5
Bloodwolf,3.5
Pack Conjuring,4.0
Skeletal Dragon,1.0
Triumphant Return,3.5
Unseen Longbow,4.0
Darkmask Stalker,3.5
Succumb,0.0
Feartracker,4.0
Induce Madness,1.0
"Karvet, Redeemed",5.0
Makkar's Stranger,5.0
Mysterious Waystone,3.0
Aurapiercer,4.5
Dark Betrayal,0.0
Pale Rider's Timepiece,4.0
Spore-Spitter,0.5
Strange Gladiator,3.5
Victor's Feast,2.5
Unlock the Vault,0.0
Keeper's Shield,3.0
Strange Blacksmith,3.5
Hammer of Glory,4.0
Spellbound Vestige,0.0
"Acedonis, Untainted",4.0
Strange Tracker,3.5
Shrine to Karvet,2.5
Strange Burglar,5.0
Premature Burial,0.0
Hammer of Unity,3.0
Pillar of Progress,0.0
Strange Duelist,3.7
Majestic Skies,3.0
Strange Sorcerer,3.5
"Albon, Fallen",3.5
Endless Nightmare,0.0
Strange Navigator,2.0
Eremot's Machinations,3.5
Strange Rider,2.0
"Yojimba, Ghostblade",2.0
Dying Sun Tapestry,0.0
Reborn Master,1.5
Strange Ally,3.5
Unseen Execution,2.5
Essence Feast,1.0
Strange Broker,3.7
Darktalon Wyvarch,3.0
Display of Creation,3.0
"Naoki, Valiant Warrior",4.0
Edge of Prophecy,3.0
Display of Destruction,3.5
"Dova, the Fearmonger",3.5
Awakened Gorger,2.5
Display of Menace,3.5
Skylord Tolek,3.7
Razorpain Hellkite,3.0
Display of Purpose,3.0
"Zadia, Revered Outcast",3.5
Agent of Purpose,1.0
Display of Tradition,3.0
Sorcerer's Wand,4.0
"Wren, Traditionalist",3.0
Rage,0.0
Unfamiliar Interloper,3.7
Unity Within,0.0
