Abduct,0
Accelerated Evolution,4.5
Accelerated Impact,0.5
Acquisitive Crow,3.9
Advance Scout,2.6
Aerial Ace,1.6
Aerial Battle,1.3
Aerialist's Khopesh,1.5
"Aeva, Eilyn's Elite",4.5
Afterimage,0.5
Aid of the Hooru,0
Alchemical Blast,1.5
Alchemist's Concoction,0.8
"Alessi, Combrei Archmage",1
"Alhed, Mount Breaker",4.5
All Banners,3
All Crests,3.5
Amaran Armadillo,3.5
Amaran Shoveler,0.1
Amaran Stinger,3
Amber Acolyte,3.5
Amber Waystone,1.9
Amethyst Waystone,1.1
"Amilli, Cloudmarshal",4.5
Ancient Lore,1.8
Ancient of the Ice Caves,2.1
Ankle Cutter,2
Annihilate,4
Answer the Call,0.8
Arcane Defense,0.5
Arcanum Hourglass,0
Archive Curator,4
Argenport Soldier,2.5
"Ashara, Ruthless Assassin",3.5
Audacious Bandit,1.9
Augmented Form,4.4
Auralian Merchant,3.6
Auric Herdward,0.5
Auric Record Keeper,4
Auric Runehammer,3.6
Auric Sentry,3.4
"Ayan, the Abductor",4
Azindel's Gift,0
Azurite Prixis,0
Back-Alley Delinquent,1.9
Backlash,0.4
Bad News,0.5
Bandit Queen,3.5
Banish,3.5
Banished Umbren,1
Bar the Gates,0.1
Barricade,1.3
"Bartholo, the Seducer",3.4
Battlefield Scavenger,2.9
Baying Serasaur,2.5
Beastcaller's Amulet,3.5
Beckoning Lumen,3.5
Belching Behemoth,1
Betray the Cause,0.5
Big Brother,2.9
Birthright,0
Black-Sky Harbinger,5
Blackhall Warleader,3
Blind Storyteller,1.8
Bloodcall Invocation,0.5
Bloodletter,4.4
Bloodthirsty Brawler,3.5
Bold Adventurer,2.8
Breeze Dancer,4
Brightmace Paladin,3
Brilliant Discovery,0.9
Brimstone Altar,0.3
Bring Down,3
Bulletshaper,2.5
Burglarize,0
Burn Out,2
Cabal Bludgeoner,2
Cabal Countess,3.5
Cabal Slasher,2.5
Cabal Standard,2.9
Calderan Cradle,0.4
Calderan Gunsmith,1
Call the Ancients,2.5
Callous Survivalist,0.5
Campfire Watchman,2.5
Celestial Omen,0.6
Censari Brigand,1.5
Chairman's Contract,0
Challenge by Law,3.8
Champion of Chaos,3.5
Champion of Cunning,3.1
Champion of Fury,2.9
Champion of Glory,3.5
Champion of Impulse,1.3
Champion of Mystery,3.5
Champion of Order,0.5
Champion of Progress,2.5
Champion of Vengeance,2.3
Champion of Wisdom,3.5
Changeestik,4
Channel the Tempest,1.3
"Cirso, the Great Glutton",4.5
Cirso's Choice,2.6
Cirso's Cleaver,4
Citywide Ban,0
Clan Hero,3
Clan Standard,3.5
Clan Wallbreaker,1
Claw of the First Dragon,3.4
